"biography","birthday","deathday","gender","name","place_of_birth","facebook_likes"
"Wesley Wales Anderson (born May 1, 1969) is an American film director, screenwriter, actor, and producer of features, short films and commercials.

He was nominated for a 2001 Academy Award for Best Original Screenplay for The Royal Tenenbaums. Anderson has been called an auteur, as he is involved in every aspect of his films' production. His films employ a similar aesthetic, employing a deliberate, methodical cinematography, with mostly primary colors. His soundtracks feature early folk and rock music, in particular classic British rock. Anderson's films combine dry humor with poignant portrayals of flawed characters     often a mix of the wealthy and the working class. He is also known for working with many of the same actors and crew on varying projects. He also works with Indian Paintbrush, Steven M. Rales's production company.","1969-05-01",,2,"Wes Anderson","Houston, Texas, USA",0.0
"David Paul Cronenberg, OC, FRSC (born March 15, 1943) is a Canadian filmmaker and screenwriter. He is one of the principal originators of what is commonly known as the body horror or venereal horror genre. This style of filmmaking explores people's fears of bodily transformation and infection. In his films, the psychological is typically intertwined with the physical. In the first half of his career, he explored these themes mostly through horror and science fiction, although his work has since expanded beyond these genres. He has been called ""the most audacious and challenging narrative director in the English-speaking world.""

Description above from the Wikipedia article David Cronenberg, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1943-03-15",,2,"David Cronenberg","Toronto, Ontario, Canada",0.0
"From Wikipedia, the free encyclopedia

John Stockwell (born March 25, 1961) is an American actor, director, producer, writer and former model.

Stockwell was born John Stockwell Samuels IV in Galveston, Texas, the son of an attorney. His first feature film as an actor came in 1981's So Fine. His well known roles came in the 1983 comedy film Losin' It as Spider; later that year, he starred in the John Carpenter horror movie Christine as Dennis Guilder and the 1985 comedy film, My Science Project as Michael Harlan. In 1986 he appeared in Top Gun as Cougar. He made guest appearances on TV shows including The Young Riders and Friday the 13th: The Series.

He began his career as international model, spending much of his time in Italy. During his time as a model, John became a friend of Andy Warhol and Stockwell was mentioned frequently in the artist's memoirs,The Warhol Diaries.

Stockwell directed several films, including Cheaters (2000), Crazy/Beautiful (2001), Blue Crush (2002), Into the Blue (2005), Turistas (2006), and Heart (2009).

Description above from the Wikipedia article John Stockwell (actor), licensed under CC-BY-SA, full list of contributors on Wikipedia.","1961-03-25",,2,"John Stockwell","Galveston, Texas, USA",134.0
"From Wikipedia, the free encyclopedia.

David Gordon Green (born April 9, 1975) is an American filmmaker. He has directed dramas such as George Washington, All the Real Girls, and Snow Angels, as well as the thriller Undertow, all of which he wrote or co-wrote. Since 2008, he has also transitioned into comedy, directing the films Pineapple Express and Your Highness, as well as episodes of the HBO comedy Eastbound &amp; Down. He will release his next comedy The Sitter in December 2011.

Description above from the Wikipedia article David Gordon Green , licensed under CC-BY-SA, full list of contributors on Wikipedia.","1975-04-09",,2,"David Gordon Green","Little Rock, Arkansas, USA",234.0
"Jim Sheridan (born 6 February 1949) is an Irish film director. A six-time Academy Award nominee, Sheridan is perhaps best known for his films My Left Foot, In the Name of the Father, Get Rich or Die Tryin' and In America.

Description above from the Wikipedia article Jim Sheridan, licensed under CC-BY-SA, full list of contributors on Wikipedia","1949-02-06",,2,"Jim Sheridan","Dublin, Ireland",260.0
"From Wikipedia, the free encyclopedia

Costa-Gavras, (short for Constantinos Gavras) born 12 February 1933 is a Greek filmmaker, who lives and works in France, best known for films with overt political themes, most famously the fast-paced thriller, Z (1969). Most of his movies were made in French; starting with Missing (1982), several were made in English.

Description above from the Wikipedia article Costa-Gavras, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1933-02-12",,0,"Costa-Gavras","Loutra-Iraias, Greece",333.0
"From Wikipedia, the free encyclopedia

Patrick Read Johnson (born May 7, 1962) in Wadsworth, Illinois) is an American film director, producer, and writer.

Description above from the Wikipedia article Patrick Read Johnson, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1962-05-07",,2,"Patrick Read Johnson","Wadsworth, Illinois",32.0
"Richard LaGravenese (born October 30, 1959) is an American screenwriter and occasional film director. He is best known as the writer of The Fisher King.

Description above from the Wikipedia article Richard LaGravenese, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1959-10-30",,2,"Richard LaGravenese","Brooklyn, New York, USA",98.0
"From Wikipedia, the free encyclopedia.

Daniel Michael ""Danny"" DeVito, Jr. (born November 17, 1944 height 5' (1,52 m)) is an American actor, comedian, director, and producer. He first gained prominence for his portrayal of Louie De Palma on the ABC and NBC TV series Taxi (1978   1983), for which he won a Golden Globe and an Emmy.

DeVito and his wife, Rhea Perlman, founded Jersey Films, a production company known for films such as Pulp Fiction, Garden State, and Freedom Writers. DeVito also owns Jersey Television, which produced the Comedy Central series Reno 911!. DeVito and Perlman also starred together in his 1996 film Matilda, based on Roald Dahl's children's novel. He currently stars as Frank Reynolds on the FX sitcom It's Always Sunny in Philadelphia.

Description above from the Wikipedia article Danny DeVito, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1944-11-17",,2,"Danny DeVito","Asbury Park, New Jersey, USA",0.0
"From Wikipedia, the free encyclopedia

George Armitage (born 1942) is an American film director, screenwriter, and producer who got his start as part of the stable of up-and-coming filmmakers who broke into the business thru Roger Corman's New World Pictures. He's most well-known as the director of the films Miami Blues and Grosse Pointe Blank.

Description above from the Wikipedia article George Armitage, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,0,"George Armitage",,5.0
"From Wikipedia, the free encyclopedia.

Patrick Lussier (born 1964) is a Canadian horror and thriller genre writer, editor and director.

Description above from the Wikipedia article Patrick Lussier, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,0,"Patrick Lussier",,71.0
"From Wikipedia, the free encyclopedia

James 'Jim' Wong (born April 20, 1959) is a Hongkongese-American television producer, writer, and film director notable for his screen works of The X-Files, Space: Above and Beyond, Millennium, Final Destination, The One, and the remakes of Willard and Black Christmas along with writing partner Glen Morgan.

Description above from the Wikipedia James Wong (producer), licensed under CC-BY-SA, full list of contributors on Wikipedia.","1959-04-20","2004-11-24",2,"James Wong","Hong Kong, China",70.0
"From Wikipedia, the free encyclopedia

Richard Whalley Anthony Curtis, CBE (born 8 November 1956) is New Zealand-born British screenwriter, music producer, actor and film director, known primarily for romantic comedy films such as Four Weddings and a Funeral, Bridget Jones's Diary, Notting Hill, and Love Actually, as well as the hit sitcoms Blackadder, Mr. Bean and The Vicar of Dibley. He is also the founder of the British charity Comic Relief.

Description above from the Wikipedia article Richard Curtis, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1956-11-08",,2,"Richard Curtis","New Zealand",628.0
"",,,0,"Chuck Bowman",,42.0
"From Wikipedia, the free encyclopedia.

Olivier Megaton (born Olivier Fontana 6 August 1965) is a French film director, writer, editor best known for directing the film The Red Siren, Transporter 3 from The Transporter series and the upcoming Luc Besson film Colombiana starring Zoe Saldana and Michael Vartan. He also served as a second unit director for the film Hitman.

Description above from the Wikipedia article Olivier Megaton, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1965-08-06",,2,"Olivier Megaton",,118.0
"From Wikipedia, the free encyclopedia.

Deepa Mehta, LLD (born 1 January 1950 in Amritsar, Punjab, India) is a Genie Award-winning and Academy Award-nominated Indian-born Canadian film director and screenwriter, most known for her Elements Trilogy, Fire (1996), Earth (1998), and Water (2005), which was nominated for Academy Award for Best Foreign Language Film. She also co-founded Hamilton-Mehta Productions, with her husband, producer David Hamilton in 1996.

Description above from the Wikipedia article Deepa Mehta, licensed under CC-BY-SA, full list of contributors on Wikipedia","1950-01-01",,1,"Deepa Mehta","Amritsar, India",375.0
"It might have been easy to write off American actor Warren Beatty as merely the younger brother of film star Shirley MacLaine, were it not for the fact that Beatty was a profoundly gifted performer whose creative range extended beyond mere acting. After studying at Northwestern University and with acting coach Stella_Adler, Beatty was being groomed for stardom almost before he was of voting age, cast in prominent supporting roles in TV dramas and attaining the recurring part of the insufferable Milton Armitage on the TV sitcom Dobie Gillis. Beatty left Dobie after a handful of episodes, writing off his part as ""ridiculous, and headed for the stage, where he appeared in a stock production of +Compulsion and in William Inge's Broadway play +A Loss of Roses.

The actor's auspicious film debut occurred in Splendor in the Grass (1961), after which he spent a number of years being written off by the more narrow-minded movie critics as a would-be Brando. Both Beatty and his fans knew that there was more to his skill than that, and in 1965 Beatty sank a lot of his energy and money into a quirky, impressionistic crime drama, Mickey_One (1965). The film was a critical success but failed to secure top bookings, though its teaming of Beatty with director Arthur_Penn proved crucial to the shape of movie-making in the 1960s. With Penn again in the director's chair, Beatty took on his first film as producer/star, Bonnie and Clyde (1967). Once more, critics were hostile -- at first. A liberal amount of praise from fellow filmmakers and the word-of-mouth buzz from film fans turned Bonnie and Clyde into the most significant film of 1967 -- and compelled many critics to reverse their initial opinions and issue apologies. This isn't the place to analyze the value and influence Bonnie and Clyde had; suffice it to say that this one film propelled Warren Beatty from a handsome, talented film star into a powerful filmmaker.

Picking and choosing his next projects very carefully, Beatty was offscreen as much as on from 1970 through 1975, though several of his projects -- most prominently McCabe and Mrs. Miller (1971) and The_Parallax_View (1974) -- would be greeted with effusive praise by film critics and historians. In 1975, Beatty wrote his first screenplay, and the result was Shampoo (1975), a trenchant satire on the misguided mores of the late '60s. Beatty turned director for 1978's Heaven_Can_Wait, a delightful remake of Here_Comes_Mr._Jordan that was successful enough to encourage future Hollywood bankrolling of Beatty's directorial efforts. In 1981, Beatty produced, directed, co-scripted and acted in Reds, a spectacular recounting of the Russian Revolution as seen through the eyes of American Communist John Reed. It was a pet project of Beatty's, one he'd been trying to finance since the 1970s (at that time, he'd intended to have Sergei_Bondarchuk of War and Peace fame as director). Reds failed to win a Best Picture Academy Award, though Beatty did pick up an Oscar as Best Director. Nothing Beatty has done since Reds has been without interest; refusing to turn out mere vehicles, he has taken on a benighted attempt to re-spark the spirit of the old Hope-Crosby road movies (Ishtar [1984]); brought a popular comic strip to the screen, complete with primary colors and artistic hyperbole (Dick_Tracy [1991]); and managed to make the ruthless gangster Bugsy Siegel a sympathetic visionary (Bugsy [1992]). In 1998 he was able to breath new life into political satire with Bulworth, his much acclaimed film in which he plays a disillusioned politician who turns to rap to express himself. In 2001, Beatty rekindled memories of Ishtar as he starred in another phenomenal bust, Town &amp; Country. Budgeted at an astronomical 90 million dollars and earning a miserable 6.7 million dollars during it's brief theatrical run, Town &amp; Country was released three years after completion and pulled from theaters after a mere four weeks, moving critics to rank it among the biggest flops in movie history.

Fiercely protective of his private life, and so much an advocate of total control that he will dictate the type of film stock and lighting to be used when being interviewed for television, Beatty has nonetheless had no luck at all in keeping his many amours out of the tabloids. However, Beatty's long and well-documented history of high-profile romances with such actresses as Leslie_Caron, Julie_Christie, Diane_Keaton, and Madonna came to an abrupt end upon his 1992 marriage to Bugsy co-star Annette_Bening, with whom he later starred in 1994's Love_Affair, his blighted remake of the 1957 An Affair to Remember.","1937-03-30",,2,"Warren Beatty","Richmond, Virginia, U.S.",631.0
"From Wikipedia, the free encyclopedia

Penny Marshall (born October 15, 1942) is an American actress, producer and director. After playing several small roles for television, she was cast as Laverne DeFazio in the sitcom Laverne and Shirley. A ratings success, the show ran from 1976 until 1983, and Marshall received three Golden Globe award nominations for her performance. She progressed to directing films such as Big (1988), the first film directed by a woman to gross in excess of $100 million at the U.S. box office, Awakenings (1990), which was nominated for an Academy Award for Best Picture, and A League of Their Own (1992). In more recent years, she has produced Cinderella Man (2005) and Bewitched (2005), as well as episodes of According to Jim (2009). She most recently directed an episode of the Showtime original series United States of Tara.

Description above from the Wikipedia article Penny Marshall, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1942-10-15",,1,"Penny Marshall","The Bronx, New York, USA",545.0
"From Wikipedia, the free encyclopedia.

Ted Kotcheff (born April 7, 1931), sometimes credited as William Kotcheff or William T. Kotcheff, is a Canadian film and television director, who is well known for his work on several high-profile British television productions and as a director of films such as First Blood.

Description above from the Wikipedia article Ted Kotcheff, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1931-04-07",,2,"Ted Kotcheff","Toronto, Canada",270.0
"From Wikipedia, the free encyclopedia

Andrei Arsenyevich Tarkovsky (April 4, 1932   December 29, 1986) was a Soviet and Russian filmmaker, writer, film editor, film theorist and opera director, widely regarded as one of the finest filmmakers of the 20th century.

Tarkovsky's films include Andrei Rublev, Solaris, The Mirror and Stalker. He directed the first five of his seven feature films in the Soviet Union; his last two films were produced in Italy and Sweden, respectively. They are characterized by spirituality and metaphysical themes, long takes, lack of conventional dramatic structure and plot, and distinctively authored use of cinematography.

Notable film director Ingmar Bergman said of Tarkovsky: ""Tarkovsky for me is the greatest [director], the one who invented a new language, true to the nature of film, as it captures life as a reflection, life as a dream"".

Description above from the Wikipedia article Andrei Tarkovsky, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1932-04-04","1986-12-29",2,"Andrei Tarkovsky","Yuryevetsky District",0.0
"",,,2,"Paul Bolger",,0.0
"From Wikipedia, the free encyclopedia.

Stephen Arthur Frears (born 20 June 1941) is an English film director.

Description above from the Wikipedia article Stephen Frears, licensed under CC-BY-SA, full list of contributors on Wikipedia","1941-06-20",,0,"Stephen Frears","Leicester, England, UK",350.0
"From Wikipedia, the free encyclopedia. Paul John ""P. J."" Hogan (born 30 November 1962 ) is an Australian film director.

Hogan was born in Brisbane, Queensland. As a teenager, Hogan lived on the North Coast of New South Wales and attended Mt St Patrick's College and was said to have had a difficult time in high school as he was a victim of bullying.

His first big hit was the 1994 Australian film Muriel's Wedding, which helped launch the careers of actors Toni Collette and Rachel Griffiths. The success of the film also led him to be chosen by Julia Roberts to direct his 1997 American debut My Best Friend's Wedding, which also starred Cameron Diaz and Dermot Mulroney.

Hogan followed up My Best Friend's Wedding with the comedy Unconditional Love (which was filmed in 1999 but not released until 2003), and 2003's big budget adaptation of Peter Pan starring Jason Isaacs as Captain Hook, Jeremy Sumpter as Peter Pan and Rachel Hurd-Wood as Wendy. The following year he directed a pilot for a remake of the cult soap opera Dark Shadows, which was not picked up for broadcast, and created the story for the 2008 musical film The American Mall. He then directed Confessions of a Shopaholic (starring Isla Fisher), an adaptation of the novel The Secret Dreamworld of a Shopaholic. He will be directing a film of Blue Balliett's book Chasing Vermeer in the future.   

Hogan is married to film director Jocelyn Moorhouse.

Description above from the Wikipedia article P. J. Hogan, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1962-11-30",,2,"P.J. Hogan","Brisbane, Queensland, Australia",29.0
"From Wikipedia, the free encyclopedia.   

Brad Furman is an American film director, producer, and writer. In 2011 he directed the The Lincoln Lawyer which starred Matthew McConaughey.

Description above from the Wikipedia article Brad Furman, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Brad Furman",,65.0
"From Wikipedia, the free encyclopedia

Stewart Terence Herbert Young (20 June 1915     7 September 1994) was a British film director best known for directing three films in the James Bond series, Dr. No (1962), From Russia with Love (1963), and Thunderball (1965).

Born in Shanghai, China, he was public-school educated. Like the fictional James Bond, he read oriental history at St Catharine's College in the University of Cambridge. As a tank commander during World War II, Young participated in Operation Market Garden in Arnhem, Netherlands.

Description above from the Wikipedia article Terence Young (director), licensed under CC-BY-SA, full list of contributors on Wikipedia.","1915-06-20","1994-09-07",2,"Terence Young","Shanghai, China",92.0
"From Wikipedia, the free encyclopedia

David Zucker (born October 16, 1947) is an American film director, producer and screenwriter.

Description above from the Wikipedia article David Zucker, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1947-10-16",,2,"David Zucker","Milwaukee, Wisconsin, USA",119.0
"Denis Villeneuve (born October 3, 1967 in Gentilly, Quebec) is a Canadian film director and writer. In his early career he won Radio-Canada's youth film competition ""La Course Europe-Asie"" in 1990-91. He is a three-time winner of the Genie Award for Best Director, for Maelstr  m in 2001, Polytechnique in 2010 and Incendies in 2011. All three films also won the Best Picture award.

His 2010 film Incendies represented Canada at the 83rd Academy Awards in the category of Best Foreign Language Film and made the list of nominees. In January 2011 he was selected as one of the top ten film makers to watch.","1967-10-03",,2,"Denis Villeneuve","Trois-Rivi  res - Qu  bec - Canada",777.0
"From Wikipedia, the free encyclopedia

Thomas Carter (born July 17, 1953) is an American film and television director known for Swing Kids, Save the Last Dance with Julia Stiles, and Coach Carter with Samuel L. Jackson.

As an actor, Carter is probably best known for his work on the television series The White Shadow, playing James ""Hollywood"" Hayward, a high school basketball star with a high IQ for justice.

Description above from the Wikipedia article Thomas Carter (film director), licensed under CC-BY-SA, full list of contributors on Wikipedia.","1953-07-17",,2,"Thomas Carter","Austin, Texas, USA",49.0
"From Wikipedia, the free encyclopedia.

Roger Michell (born 5 June 1956) is an English theatre, television and film director.

Description above from the Wikipedia article Roger Michell, licensed under CC-BY-SA, full list of contributors on Wikipedia","1956-06-05",,2,"Roger Michell","South Africa",50.0
"From Wikipedia, the free encyclopedia.   

Luis Llosa is a Peruvian film director. He is the cousin of the Peruvian novelist Mario Vargas Llosa.

Description above from the Wikipedia article Luis Llosa, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Luis Llosa","Lima, Peru",49.0
"From Wikipedia, the free encyclopedia

Melville Shavelson (April 1, 1917     August 8, 2007) was an American film director, producer, screenwriter, and author. He was President of the Writers Guild of America, West (WGAw) from 1969 to 1971, 1979 to 1981, and 1985 to 1987. He came to Hollywood in 1938 as one of comedian Bob Hope's joke writers, a job he held for the next five years. He is responsible for the screenplays of such Hope films as The Princess and the Pirate (1944), Where There's Life (1947), The Great Lover (1949), and Sorrowful Jones (1949), which also starred Lucille Ball.

Shavelson was nominated twice for Academy Awards for Best Original Screenplay -- first for 1955's The Seven Little Foys, starring Hope in a rare dramatic role, and then for 1958's Houseboat. He shared both nominations with Jack Rose. He also directed both films.

Other films he wrote and directed include Beau James (1957), The Five Pennies (1959) for which he won a Screen Writers Guild Award, It Started in Naples (1960), On the Double (1961), The Pigeon That Took Rome (1962), A New Kind of Love (1963), Cast a Giant Shadow (1966), and Yours, Mine and Ours (1968), which starred Henry Fonda and again with Lucille Ball. The film, a comedy about a widow (Lucille Ball) and a widower (Henry Fonda) raising 18 children together. When Ms. Ball later asked Mr. Shavelson how he enjoyed directing her, The Associated Press reported, he replied,    Lucy, this is the first time I ever made a film with 19 children.    Ms. Ball was not amused. In addition to his film work, Shavelson created two Emmy award-winning television series and wrote for a dozen Academy Award shows.

He also wrote,produced and co-directed the six-hour ABC screenplay to the 1979 television miniseries Ike about Dwight D. Eisenhower, based on the World War II exploits of Gen. Dwight Eisenhower. He also wrote, miniseries Ike, The War Years.

Shavelson's autobiography, published by BearManor Media in April 2007, is entitled How to Succeed in Hollywood Without Really Trying, P.S. - You Can't! Shavelson wrote several other books, including, with Mr. Hope,    Don   t Shoot, It   s Only Me: Bob Hope   s Comedy History of the United States    (Putnam, 1990), and How to Make a Jewish Movie (1971), a memoir of his experiences while producing and directing Cast a Giant Shadow, and the Hollywood-themed novel Lualda (1973).

Shavelson was a noted instructor at USC's Master of Professional Writing Program from 1998-2006. He taught screenwriting, who often cracked to his students, ""I'm a writer by choice, a producer by necessity and a director in self-defense.""

Shavelson's first wife, Lucille, died in 2000. He was married to his second wife, Ruth Florea, from 2001 until his death in 2007. He had two children, Lynne Joiner and Richard Shavelson.

Description above from the Wikipedia article Melville Shavelson, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1917-04-01","2007-08-08",2,"Melville Shavelson","New York City, New York, USA",5.0
"Hammer &amp; Tongs is the pseudonym of promo and film director Garth Jennings and producer Nick Goldsmith, as well as the name of their production company. Best known for their work on music videos for Blur (""Coffee &amp; TV"") and Supergrass (""Pumping on Your Stereo""), Hammer &amp; Tongs have moved on to directing movies, their debut being the 2005 film version of The Hitchhiker's Guide to the Galaxy.

The phrase ""hammer and tongs"" means ""with great energy and force"", often phrased ""to go at it with hammer and tongs"". The origins of this phrase is from blacksmithing, where tongs are used during forging to hold the hot iron as it is hammered into shape.

Description above from the Wikipedia article Hammer &amp; Tongs, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Garth Jennings","Epping, Essex, England, UK",37.0
"From Wikipedia, the free encyclopedia

Joel Zwick (born January 11, 1942) is an American film, television and theatre director. He is best known for his work on Perfect Strangers, Full House, Family Matters and well as directing the films My Big Fat Greek Wedding and Fat Albert.

Born in Brooklyn, New York, he was educated at Brooklyn College. He directed twenty-one pilots, all of which went on to have successful runs as weekly series.

Description above from the Wikipedia article Joel Zwick, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1942-01-11",,2,"Joel Zwick","Brooklyn, New York, USA",38.0
"From Wikipedia, the free encyclopedia

Russell Mulcahy (born 23 June 1953 in Melbourne, Victoria) is an Australian film director. His work is easily recognized by his use of fast cuts, tracking shots and use of glowing lights.

  

Description above from the Wikipedia article Russell Mulcahy, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1953-06-23",,2,"Russell Mulcahy","Melbourne, Victoria, Australia",85.0
"From Wikipedia, the free encyclopedia  David Richard Ellis (born September 8, 1952) is an American film director and former stuntman.  Description above from the Wikipedia article David R. Ellis, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1952-09-08","2013-01-07",2,"David R. Ellis","Santa Monica, California, USA",160.0
"From Wikipedia, the free encyclopedia.   

Peter Howitt (born 5 May 1957) is an English actor and film director. He grew up in Eltham, London and Bromley, Kent, Peter used to be a part of the Priory Players in the Priory behind Christ Church, Eltham. He has two children, Luke (born 1990) and Amy (born 2008). He currently resides in Vancouver, Canada.

He first found success playing Joey Boswell in the British TV series Bread. In 1998 he wrote and directed his first film, Sliding Doors (1998). Since then he has directed several films, including AntiTrust (2001), Johnny English (2003), Laws of Attraction (2004) and Dangerous Parking (2008) which he adapted from the novel by Stuart Browne, produced and directed as well as playing the lead role.

Description above from the Wikipedia article Peter Howitt, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1957-05-05",,2,"Peter Howitt","Manchester, England",29.0
"From Wikipedia, the free encyclopedia

John A. Davis (born John Alexander Davis) is an American film director, writer, animator, voice actor and composer known for his work both in stop-motion animation as well as computer animation. He is the creator of Jimmy Neutron.

Description above from the Wikipedia article John A. Davis, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1963-07-04",,2,"John A. Davis","Las Vegas, Nevada, United States",8.0
"David Keith Lynch (born January 20, 1946) is an American filmmaker, television director, visual artist, musician and occasional actor. Known for his surrealist films, he has developed his own unique cinematic style, which has been dubbed ""Lynchian"", and which is characterized by its dream imagery and meticulous sound design. Indeed, the surreal and in many cases violent elements to his films have earned them the reputation that they ""disturb, offend or mystify"" their audiences.

Moving around various parts of the United States as a child within his middle class family, Lynch went on to study painting in Philadelphia, where he first made the transition to producing short films. Deciding to devote himself more fully to this medium, he moved to Los Angeles, where he produced his first motion picture, the surrealist horror Eraserhead (1977). After Eraserhead became a cult classic on the midnight movie circuit, Lynch was employed to direct The Elephant Man (1980), from which he gained mainstream success. Then being employed by the De Laurentiis Entertainment Group, he proceeded to make two films. First, the science-fiction epic Dune (1984), which proved to be a critical and commercial failure, and then a neo-noir crime film, Blue Velvet (1986), which was highly critically acclaimed.

Proceeding to create his own television series with Mark Frost, the highly popular murder mystery Twin Peaks (1990   1992), he also created a cinematic prequel, Fire Walk With Me (1992), a road movie, Wild at Heart (1990), and a family film, The Straight Story (1999) in the same period. Turning further towards surrealist filmmaking, three of his following films worked on ""dream logic"" non-linear narrative structures, Lost Highway (1997), Mulholland Drive (2001) and Inland Empire (2006).

Lynch has received three Academy Award nominations for Best Director, for his films The Elephant Man, Blue Velvet and Mulholland Drive, and also received a screenplay Academy Award nomination for The Elephant Man. Lynch has twice won France's C  sar Award for Best Foreign Film, as well as the Palme d'Or at the Cannes Film Festival and a Golden Lion award for lifetime achievement at the Venice Film Festival. The French government awarded him the Legion of Honor, the country's top civilian honor, as a Chevalier in 2002 and then an Officier in 2007, while that same year, The Guardian described Lynch as ""the most important director of this era"". Allmovie called him ""the Renaissance man of modern American filmmaking"", whilst the success of his films have led to him being labelled ""the first popular Surrealist.

Description above from the Wikipedia article David Lynch, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1946-01-20",,2,"David Lynch","Missoula, Montana, USA",0.0
"From Wikipedia, the free encyclopedia

Julie Taymor (born December 15, 1952) is an American director of theater, opera and film. Taymor's work has received many accolades from critics, and she has earned two Tony Awards out of four nominations, the Drama Desk Award for Outstanding Costume Design, an Emmy Award, and an Academy Award nomination for Original Song. She is widely known for directing the stage musical, The Lion King, for which she became the first woman to win the Tony Award for directing a musical, in addition to a Tony Award for Original Costume Design. She had been the director of the Broadway musical Spider-Man: Turn Off the Dark before leaving in March 2011, after four months of previews (the longest preview period for any show in Broadway history), following artistic differences with the producers.

Description above from the Wikipedia article Julie Taymor, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1952-12-15",,1,"Julie Taymor","Newton, Massachusetts, U.S",278.0
"From Wikipedia, the free encyclopedia.

Mathieu Kassovitz (born 3 August 1967) is a French director, screenwriter, producer and actor, best known for his Cannes-winning drama La Haine. Kassovitz is also the founder of MNP Entreprise, a film production company.

Description above from the Wikipedia article Mathieu Kassovitz, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1967-08-03",,2,"Mathieu Kassovitz","Paris, France",326.0
"",,,2,"John Gray",,29.0
"From Wikipedia, the free encyclopedia.

John Schultz is an American film director, screenwriter and producer.

Schultz has directed such films as Bandwagon, Drive Me Crazy, Like Mike, When Zachary Beaver Came to Town, The Honeymooners Aliens in the Attic and Judy Moody and the Not Bummer Summer.

Description above from the Wikipedia article John Schultz, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"John Schultz",,13.0
"Sean Justin Penn (born August 17, 1960) is an American actor, screenwriter and film director, also known for his political and social activism. He is a two-time Academy Award winner for his roles in Mystic River (2003) and Milk (2008), as well as the recipient of a Golden Globe Award for the former and a Screen Actors Guild Award for the latter.  Penn began his acting career in television with a brief appearance in a 1974 episode of Little House on the Prairie, directed by his father Leo Penn. Following his film debut in 1981's Taps and a diverse range of film roles in the 1980s, Penn emerged as a prominent leading actor with the 1995 drama film Dead Man Walking, for which he earned his first Academy Award nomination and the Best Actor Award at the Berlin Film Festival. Penn subsequently received another two Oscar nominations for Sweet and Lowdown (1999) and I Am Sam (2001), before winning his first Academy Award for Best Actor in 2003 for Mystic River and a second one in 2008 for Milk. He has also won a Best Actor Award of the Cannes Film Festival for She's So Lovely (1997), and two Best Actor Awards at the Venice Film Festival for Hurlyburly (1998) and 21 Grams (2003).

Penn made his feature film directorial debut with 1991's The Indian Runner, followed by the drama film The Crossing Guard (1995) and the mystery film The Pledge (2001). In 2002, Penn directed one of the 11 segments of 11'09""01 September 11, a compilation film made in response to the September 11 attacks. In 2007, Penn directed his fourth feature film Into the Wild, which garnered critical acclaim and two Academy Award nominations.

In addition to his film work, Penn is known for his political and social activism, most notably his criticism of the George W. Bush administration, his contact with the Presidents of Venezuela and Cuba, and his humanitarian work in the aftermath of Hurricane Katrina and the 2010 Haiti earthquake. Penn also attracted media attention for his previous marriages to pop icon Madonna and actress Robin Wright.

Description above from the Wikipedia article Sean Penn, licensed under CC-BY-SA, full list of contributors on Wikipedia","1960-08-17",,2,"Sean Penn","Santa Monica, California, U.S.",0.0
"From Wikipedia, the free encyclopedia

Susan Stroman (born 17 October 1954) is an American theatre director, choreographer, film director, and performer.

Description above from the Wikipedia article Susan Stroman, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1954-10-17",,1,"Susan Stroman","Wilmington, Delaware, USA",38.0
"Simon Wincer (born 1943 in Sydney) is an Australian film director and film producer. He attended Cranbrook School, Bellevue Hill, Sydney from 1950 to 1961. On leaving school he worked as a stage hand at TV Station Channel 7. By the 1980s he directed over 200 hours of television. In 1986 he directed the made for TV movie The Last Frontier and also won a Christopher Award.

His most successful film to date is the 1993 film Free Willy.

Description above from the Wikipedia article Simon Wincer, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,0,"Simon Wincer","Sydney, New South Wales, Australia",23.0
